location	year	month	day	total_cases	new_cases	total_deaths	new_deaths
Albania	2020	2	25				
Albania	2020	2	26				
Albania	2020	2	27				
Albania	2020	2	28				
Albania	2020	2	29				
Albania	2020	3	1				
Albania	2020	3	2				
Albania	2020	3	3				
Albania	2020	3	4				
Albania	2020	3	5				
Albania	2020	3	6				
Albania	2020	3	7				
Albania	2020	3	8				
Albania	2020	3	9	2	2		
Albania	2020	3	10	10	8		
Albania	2020	3	11	12	2	1	1
Albania	2020	3	12	23	11	1	0
Albania	2020	3	13	33	10	1	0
Albania	2020	3	14	38	5	1	0
Albania	2020	3	15	42	4	1	0
Albania	2020	3	16	51	9	1	0
Albania	2020	3	17	55	4	1	0
Albania	2020	3	18	59	4	2	1
Albania	2020	3	19	64	5	2	0
Albania	2020	3	20	70	6	2	0
Albania	2020	3	21	76	6	2	0
Albania	2020	3	22	89	13	2	0
Albania	2020	3	23	104	15	4	2
Albania	2020	3	24	123	19	5	1
Albania	2020	3	25	146	23	5	0
Albania	2020	3	26	174	28	6	1
Albania	2020	3	27	186	12	8	2
Albania	2020	3	28	197	11	10	2
Albania	2020	3	29	212	15	10	0
Albania	2020	3	30	223	11	11	1
Albania	2020	3	31	243	20	15	4
Albania	2020	4	1	259	16	15	0
Albania	2020	4	2	277	18	16	1
Albania	2020	4	3	304	27	17	1
Albania	2020	4	4	333	29	20	3
Albania	2020	4	5	361	28	20	0
Albania	2020	4	6	377	16	21	1
Albania	2020	4	7	383	6	22	1
Albania	2020	4	8	400	17	22	0
Albania	2020	4	9	409	9	23	1
Albania	2020	4	10	416	7	23	0
Albania	2020	4	11	433	17	23	0
Albania	2020	4	12	446	13	23	0
Albania	2020	4	13	467	21	23	0
Albania	2020	4	14	475	8	24	1
Albania	2020	4	15	494	19	25	1
Albania	2020	4	16	518	24	26	1
Albania	2020	4	17	539	21	26	0
Albania	2020	4	18	548	9	26	0
Albania	2020	4	19	562	14	26	0
Albania	2020	4	20	584	22	26	0
Albania	2020	4	21	609	25	26	0
Albania	2020	4	22	634	25	27	1
Albania	2020	4	23	663	29	27	0
Albania	2020	4	24	678	15	27	0
Albania	2020	4	25	712	34	27	0
Albania	2020	4	26	726	14	28	1
Albania	2020	4	27	736	10	28	0
Albania	2020	4	28	750	14	30	2
Albania	2020	4	29	766	16	30	0
Albania	2020	4	30	773	7	31	1
Albania	2020	5	1	782	9	31	0
Albania	2020	5	2	789	7	31	0
Albania	2020	5	3	795	6	31	0
Albania	2020	5	4	803	8	31	0
Albania	2020	5	5	820	17	31	0
Albania	2020	5	6	832	12	31	0
Albania	2020	5	7	842	10	31	0
Albania	2020	5	8	850	8	31	0
Albania	2020	5	9	856	6	31	0
Albania	2020	5	10	868	12	31	0
Albania	2020	5	11	872	4	31	0
Albania	2020	5	12	876	4	31	0
Albania	2020	5	13	880	4	31	0
Albania	2020	5	14	898	18	31	0
Albania	2020	5	15	916	18	31	0
Albania	2020	5	16	933	17	31	0
Albania	2020	5	17	946	13	31	0
Albania	2020	5	18	948	2	31	0
Albania	2020	5	19	949	1	31	0
Albania	2020	5	20	964	15	31	0
Albania	2020	5	21	969	5	31	0
Albania	2020	5	22	981	12	31	0
Albania	2020	5	23	989	8	31	0
Albania	2020	5	24	998	9	32	1
Albania	2020	5	25	1004	6	32	0
Albania	2020	5	26	1029	25	33	1
